id,serialNumber,locationName,latitude,longitude,coords_color,address,postalCode,status,rvm_remarks,model,rvm_val2,rvm_val3,rvm_val4,rvmOpeningHours
367,B5052557,Block 126A Edgedale Plains,1.394238,103.911723,Blue,"126A Edgedale Plains, 821126",821126,RUNNING,,,,,,Mon - Sun:  24 Hrs
368,B9051005,Block 185 Edgefield Plains,1.398223,103.910406,Blue,"185 Edgefield Plains, 820185",820185,RUNNING,,,,,,Mon - Sun:  24 Hrs
369,B5481174,Block 204A Punggol Field,1.398894,103.902914,Blue,"Block 204A Punggol Field, 821204",821204,RUNNING,,,,,,Mon - Sun:  24 Hrs
371,SGRVM0001,168 Woodlands Street 11,1.432979,103.776415,Red,"168 Woodlands Street 11, 730168",730168,RUNNING,,,,,,Mon - Sun:  24 Hrs
372,SGRVM0002,297C Choa Chu Kang Ave 2,1.377770,103.743170,Red,"297C Choa Chu Kang Ave 2, 683297",683297,RUNNING,"This machine is popular and can get busy. If there's a queue or the bin is full, your next best options nearby are Blk 274 Choa Chu Kang Ave 2 and Blk 290 Choa Chu Kang Ave 3. Check their status before heading over.",,,,,Mon - Sun:  24 Hrs
373,SGRVM0003,219 Choa Chu Kang Central,1.382740,103.745520,Red,"219 Choa Chu Kang Central, 680219",680219,RUNNING,,,,,,Mon - Sun:  24 Hrs
374,SGRVM0004,454 Fajar Rd,1.384600,103.771310,Red,"454 Fajar Rd, 670454",670454,RUNNING,,,,,,Mon - Sun:  24 Hrs
375,SGRVM0005,418 Fajar Rd,1.384290,103.768880,Red,"418 Fajar Rd, 670418",670418,RUNNING,,,,,,Mon - Sun:  24 Hrs
376,SGRVM0006,319 Clementi Ave 4,1.317501,103.764808,Red,"319 Clementi Ave 4, 120319",120319,RUNNING,,,,,,Mon - Sun:  24 Hrs
377,SGRVM0007,"233 Pending Rd, #08-11",1.376580,103.771770,Red,"233 Pending Rd, #08-11, 670233",670233,RUNNING,,,,,,Mon - Sun:  24 Hrs
379,SGRVM0009,213 Petir Rd,1.374581,103.775406,Red,"213 Petir Rd, 670213",670213,RUNNING,,,,,,Mon - Sun:  24 Hrs
380,SGRVM0010,708 Choa Chu Kang Street 53,1.391600,103.746970,Red,"708 Choa Chu Kang Street 53, 680708",680708,RUNNING,,,,,,Mon - Sun:  24 Hrs
381,SGRVM0011,685C Choa Chu Kang Cres,1.403421,103.748610,Red,"685C Choa Chu Kang Cres, 683685",683685,RUNNING,,,,,,Mon - Sun:  24 Hrs
382,SGRVM0012,461 Segar Rd,1.387050,103.771000,Red,"461 Segar Rd, 670461",670461,RUNNING,,,,,,Mon - Sun:  24 Hrs
383,SGRVM0013,406 Fajar Rd,1.381840,103.767490,Red,"406 Fajar Rd, 670406",670406,RUNNING,,,,,,Mon - Sun:  24 Hrs
384,SGRVM0014,175 Lompang Rd,1.379810,103.765960,Red,"175 Lompang Rd, 670175",670175,RUNNING,,,,,,Mon - Sun:  24 Hrs
385,SGRVM0015,188 Bukit Batok West Ave 6,1.346373,103.745765,Red,"188 Bukit Batok West Ave 6, 650188",650188,RUNNING,,,,,,Mon - Sun:  24 Hrs
386,SGRVM0016,234 Choa Chu Kang Central,1.380196,103.748357,Red,"234 Choa Chu Kang Central, 680234",680234,RUNNING,,,,,,Mon - Sun:  24 Hrs
387,SGRVM0017,372 Jurong East Street 32,1.348650,103.731810,Red,"372 Jurong East Street 32, 600372",600372,RUNNING,,,,,,Mon - Sun:  24 Hrs
389,SGRVM0019,671 Yishun Avenue 4,1.419108,103.841397,Red,"671 Yishun Avenue 4, 760671",760671,RUNNING,,,,,,Mon - Sun:  24 Hrs
390,SGRVM0020,272 Bangkit Rd,1.377453,103.774742,Red,"272 Bangkit Rd, 670272",670272,RUNNING,,,,,,Mon - Sun:  24 Hrs
391,SGRVM0021,808B Choa Chu Kang Ave 1,1.375630,103.745790,Red,"808B Choa Chu Kang Ave 1, 682808",682808,RUNNING,,,,,,Mon - Sun:  24 Hrs
392,SGRVM0022,536 Choa Chu Kang Street 51,1.391850,103.744040,Red,"536 Choa Chu Kang Street 51, 680536",680536,RUNNING,,,,,,Mon - Sun:  24 Hrs
393,SGRVM0023,677 Choa Chu Kang Cres,1.436993,103.777357,Red,"677 Choa Chu Kang Cres, 680677",680677,RUNNING,,,,,,Mon - Sun:  24 Hrs
394,SGRVM0024,527 Choa Chu Kang Street 51,1.391880,103.741450,Red,"527 Choa Chu Kang Street 51, 680527",680527,RUNNING,,,,,,Mon - Sun:  24 Hrs
395,SGRVM0025,625 Choa Chu Kang Street 62,1.398620,103.746039,Red,"625 Choa Chu Kang Street 62, 680625",680625,ERROR,,,,,,Mon - Sun:  24 Hrs
397,SGRVM0027,167 Petir Rd,1.377630,103.764760,Red,"167 Petir Rd, 670167",670167,RUNNING,,,,,,Mon - Sun:  24 Hrs
398,SGRVM0028,601 Choa Chu Kang Street 62,1.396950,103.744890,Red,"601 Choa Chu Kang Street 62, 680601",680601,RUNNING,,,,,,Mon - Sun:  24 Hrs
